username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
NoticiasAirSim,2017-03-18 09:44,0,0,"Yo creo que he sido el primero en reservar. ¡Qué ilusión @ AirSimMeeting! No te confundas, no están abiertas las reservas aun.https://twitter.com/NoticiasAirSim/status/842786739265724418 …",,@,,843020201809580032,https://twitter.com/NoticiasAirSim/status/843020201809580032
NoticiasAirSim,2017-03-18 09:03,0,0,"No estaba muy atento porque estaba a otras cosas, pero conté 3 ó 4 máximo. Era este: https://twitter.com/NoticiasAirSim/status/842729032940699649 … @xabi276 @ IVAOES",,@xabi276 @,,843010008799436800,https://twitter.com/NoticiasAirSim/status/843010008799436800
NoticiasAirSim,2017-03-18 08:56,0,0,"Pues eso, lamentable. @xabi276 @ IVAOES",,@xabi276 @,,843008091063029760,https://twitter.com/NoticiasAirSim/status/843008091063029760
NoticiasAirSim,2017-03-17 19:43,0,0,¡Muy bien! ¿Y dónde hay control? @ IVAOES,,@,,842808519170686977,https://twitter.com/NoticiasAirSim/status/842808519170686977
NoticiasAirSim,2017-03-17 19:09,0,3,Adivina adivinanza... ¿Dónde hay evento? @ IVAOESpic.twitter.com/IimEToZSwS,,@,,842799970566725632,https://twitter.com/NoticiasAirSim/status/842799970566725632
NoticiasAirSim,2017-03-17 18:48,0,1,"De nada. Al menos un gracias, no como la última vez, cuando puse en contacto con el sim de C206. Se agradece Roberto. Un saludo.",,,,842794880241942529,https://twitter.com/NoticiasAirSim/status/842794880241942529
NoticiasAirSim,2017-03-17 18:29,0,1,Sin ATC la gente no va y el ATC no se conecta si no hay tráficos. Me suena de algo...,,,,842789912692834305,https://twitter.com/NoticiasAirSim/status/842789912692834305
NoticiasAirSim,2017-03-17 18:24,0,0,Según esto: http://lecl.ivao.es/aeropuertos/  Los de AirHispania. Entiendo que es FSX/P3D.,,,,842788742360391681,https://twitter.com/NoticiasAirSim/status/842788742360391681
NoticiasAirSim,2017-03-17 18:22,0,1,Entre el bajón y que los ATCs se ponen en el aeropuerto adyacente en vez de en el del evento. También ha sido poco publicitado.,,,,842788295297961984,https://twitter.com/NoticiasAirSim/status/842788295297961984
NoticiasAirSim,2017-03-17 18:21,0,1,Full ATC en Valencia y ni un ATC en Castellón habiendo evento. ¿Lógica? Ninguna. Un poco de sentido común chicos.,,,,842788040770818048,https://twitter.com/NoticiasAirSim/status/842788040770818048
NoticiasAirSim,2017-03-17 18:16,0,0,Porque sin tener ni idea de informática puedo reservar. Evidentemente no quiero hacer ningún daño ni utilizarlo para nada.pic.twitter.com/4Mvt3qHIM4,,,,842786739265724418,https://twitter.com/NoticiasAirSim/status/842786739265724418
NoticiasAirSim,2017-03-17 18:08,0,2,Empieza el evento pero no hay ni ATCs ni apenas tráficos en Castellón.,,,,842784717686669312,https://twitter.com/NoticiasAirSim/status/842784717686669312
NoticiasAirSim,2017-03-17 17:01,0,0,Ya que no contestais para dar las gracias @ AirSimMeeting Igual por interés sí. Hay una falla de seguridad en el sistema de reservas.Recuerdopic.twitter.com/biNUAoEeR8,,@,,842767902856167425,https://twitter.com/NoticiasAirSim/status/842767902856167425
NoticiasAirSim,2017-03-17 14:38,0,0,Aquí puedes leer lo que aporta @ IVAOES para entrenamiento de vuelo real https://ready4departure.wordpress.com/2015/03/13/que-aporta-la-simulacion-aerea-al-vuelo-real/ … @R4Dblog @ controladores,,@ @R4Dblog @,,842731867996676097,https://twitter.com/NoticiasAirSim/status/842731867996676097
NoticiasAirSim,2017-03-17 14:27,1,1,"Hoy de 1700z a 2000z... ""Tour Eventos Nº3: Todos a... Castellón."" http://es.forum.ivao.aero/index.php?topic=300214.0 … # IVAOESEventos @ IVAOESpic.twitter.com/7Y5dLl6Mq2",,@,#,842729032940699649,https://twitter.com/NoticiasAirSim/status/842729032940699649
NoticiasAirSim,2017-03-17 12:14,0,0,Rotary Encoders (Altímetro Casero FSX) -CONSTRUYENDO UN CESSNA 172-https://youtu.be/IuYQPdGMMBs,,,,842695545227481088,https://twitter.com/NoticiasAirSim/status/842695545227481088
NoticiasAirSim,2017-03-17 10:38,0,0,Ya se han reservados más de la mitad de los vuelos (58%) ¡Aun quedan vuelos para ti! # IVAOESEventos,,,#,842671362200297473,https://twitter.com/NoticiasAirSim/status/842671362200297473
NoticiasAirSim,2017-03-17 10:36,0,1,¿Has reservado ya tu vuelo para el # MadridRFO que tendrá lugar el próximo 25 de marzo? ¿No? ¿A que esperas? @ IVAOES http://rfomadrid.ivao.es/es/booking pic.twitter.com/wjTKp0L5Nf,,@,#,842671088198979584,https://twitter.com/NoticiasAirSim/status/842671088198979584
NoticiasAirSim,2017-03-16 21:57,0,1,"El único gracias que he tenido ha sido por la parte más desinteresada, @ APCAV_grupo. Amabilidad y educación.",,@,,842479892151373824,https://twitter.com/NoticiasAirSim/status/842479892151373824
NoticiasAirSim,2017-03-16 21:54,0,1,Realmente es molesto ver que de novedad en simuladores de vuelo en el MASM17 traen la C206 de APCAV y ni un gracias después de esto:pic.twitter.com/Ktj4IvGLDI,,,,842479195922055168,https://twitter.com/NoticiasAirSim/status/842479195922055168
NoticiasAirSim,2017-03-16 20:52,0,1,¡No plagies! De esas cosas simples ya se encargan otros.,,,,842463626539737089,https://twitter.com/NoticiasAirSim/status/842463626539737089
NoticiasAirSim,2017-03-15 21:05,0,1,Supongo que por poder hacer... ¡¡Pero no todos somos tan buenos informáticos como tú!! Y funciona muy bien así. @ dani_ponsg,,@,,842104505999228932,https://twitter.com/NoticiasAirSim/status/842104505999228932
NoticiasAirSim,2017-03-15 20:00,0,1,"Pues sí la verdad. Lo he pensado. Pero el VAM de @ pilotovirtual es un muy buen sistema.Elige la CIA por ruta, flota y compañeros",,@,,842088053615255552,https://twitter.com/NoticiasAirSim/status/842088053615255552
NoticiasAirSim,2017-03-15 19:45,0,0,Y su web la tenéis aquí: http://www.wamosair-va.es/vam/index.php?lang=es …,,,,842084449294667777,https://twitter.com/NoticiasAirSim/status/842084449294667777
NoticiasAirSim,2017-03-15 19:38,0,1,"¡De nada! Como siempre, un placer. @ IVAOES",,@,,842082700492173315,https://twitter.com/NoticiasAirSim/status/842082700492173315
NoticiasAirSim,2017-03-15 19:34,5,7,Wamos Air Virtual abre sus puertas e inicia operaciones en @ IVAOES. Hasta el sábado 18 registro de pilotos abierto. http://es.forum.ivao.aero/index.php?topic=300425.0 …,,@,,842081685722279942,https://twitter.com/NoticiasAirSim/status/842081685722279942
NoticiasAirSim,2017-03-15 19:31,0,1,"METAR GEML 151800Z 06016G28KT 010V110 9999 FEW010 BKN015 BKN030 16/13 Q1018 WS ALL RWY Si ya estaba mal... Windshear. Ya sabes, extra fuel.https://twitter.com/Tomiyero/status/842071506435887104 …",,,,842080953405181952,https://twitter.com/NoticiasAirSim/status/842080953405181952
NoticiasAirSim,2017-03-15 18:52,0,1,¡Buen vuelo! # IVAOESenfotos @ IVAOES @ anywayva,,@ @,#,842070946857005060,https://twitter.com/NoticiasAirSim/status/842070946857005060
NoticiasAirSim,2017-03-14 22:50,0,0,"Será Tour IFR, ¿no? @ IVAOES @ IVAOAERO @ xplane11",,@ @ @,,841768409549398016,https://twitter.com/NoticiasAirSim/status/841768409549398016
NoticiasAirSim,2017-03-14 20:58,0,3,¿Alguien sabe como solucionarlo? en FSX funcionaba perfectamente. CL 215 de Massimo Taccoli. ¡Gracias!pic.twitter.com/fRAP8FIWvz,,,,841740261604634625,https://twitter.com/NoticiasAirSim/status/841740261604634625
NoticiasAirSim,2017-03-14 18:40,0,2,Así están los cielos españoles en @ IVAOES con el # SpanishOnlineDay y el examen ADC en Palma de Mallorca. # IVAOATCpic.twitter.com/YIEHr7mqHj,,@,# #,841705515411484672,https://twitter.com/NoticiasAirSim/status/841705515411484672
NoticiasAirSim,2017-03-14 17:28,0,1,En media hora... Además de estar ahora mismo el # IVAOSpanishOnlineDayhttps://twitter.com/NoticiasAirSim/status/841600100510121985 …,,,#,841687584094969856,https://twitter.com/NoticiasAirSim/status/841687584094969856
NoticiasAirSim,2017-03-14 17:05,0,0,"Como siempre, un buen vídeo.",,,,841681731400941569,https://twitter.com/NoticiasAirSim/status/841681731400941569
NoticiasAirSim,2017-03-14 12:27,0,1,¡Qué bien! ¡Me alegro!,,,,841611721190068225,https://twitter.com/NoticiasAirSim/status/841611721190068225
NoticiasAirSim,2017-03-14 11:44,0,1,[CRJ200v2]36. Wing Ice https://youtu.be/AQ5zxbFACzU @ JRollonPlanes,,@,,841601011655544832,https://twitter.com/NoticiasAirSim/status/841601011655544832
